,QQQM,units bought of QQQM,cumulative QQQM,cost of QQQM,total cost of QQQM,value of QQQM,SPCE,units bought of SPCE,cumulative SPCE,cost of SPCE,total cost of SPCE,value of SPCE,TBT220121C00025000,units bought of TBT220121C00025000,cumulative TBT220121C00025000,cost of TBT220121C00025000,total cost of TBT220121C00025000,value of TBT220121C00025000,AGC220121C00015000,units bought of AGC220121C00015000,cumulative AGC220121C00015000,cost of AGC220121C00015000,total cost of AGC220121C00015000,value of AGC220121C00015000,ETH-USD,units bought of ETH-USD,cumulative ETH-USD,cost of ETH-USD,total cost of ETH-USD,value of ETH-USD,ADA-USD,units bought of ADA-USD,cumulative ADA-USD,cost of ADA-USD,total cost of ADA-USD,value of ADA-USD,SHIB-USD,units bought of SHIB-USD,cumulative SHIB-USD,cost of SHIB-USD,total cost of SHIB-USD,value of SHIB-USD,CRO-USD,units bought of CRO-USD,cumulative CRO-USD,cost of CRO-USD,total cost of CRO-USD,value of CRO-USD,SOL-USD,units bought of SOL-USD,cumulative SOL-USD,cost of SOL-USD,total cost of SOL-USD,value of SOL-USD,total invested,total value
2021-06-14,141.0345001220703,0.0,0.0,0.0,0.0,0.0,36.4900016784668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2537.89111328125,0.0449,0.0449,113.95131098632812,113.95131098632812,113.95131098632812,1.5751099586486816,0.0,0.0,0.0,0.0,0.0,7.000000096013537e-06,0.0,0.0,0.0,0.0,0.0,0.1221729964017868,0.0,0.0,0.0,0.0,0.0,38.71305465698242,0.0,0.0,0.0,0.0,0.0,113.95131098632812,113.95131098632812
2021-06-15,140.26406860351562,0.0,0.0,0.0,0.0,0.0,34.869998931884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2610.936767578125,0.0,0.0449,113.95131098632812,113.95131098632812,117.23106086425781,1.597756028175354,0.0,0.0,0.0,0.0,0.0,7.000000096013537e-06,0.0,0.0,0.0,0.0,0.0,0.11961399763822556,0.0,0.0,0.0,0.0,0.0,41.153648376464844,0.0,0.0,0.0,0.0,0.0,113.95131098632812,117.23106086425781
2021-06-16,139.70591735839844,0.0,0.0,0.0,0.0,0.0,35.369998931884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2367.66357421875,0.0,0.0449,113.95131098632812,113.95131098632812,106.30809448242188,1.4825730323791504,49.98,49.98,74.09900015830993,74.09900015830993,74.09900015830993,7.999999979801942e-06,0.0,0.0,0.0,0.0,0.0,0.11406099796295166,0.0,0.0,0.0,0.0,0.0,39.703617095947266,0.0,0.0,0.0,0.0,0.0,188.05031114463804,180.40709464073183
2021-06-17,141.4700469970703,0.0,0.0,0.0,0.0,0.0,37.31999969482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2372.001953125,0.0,0.0449,113.95131098632812,113.95131098632812,106.50288769531251,1.482193946838379,0.0,49.98,74.09900015830993,74.09900015830993,74.08005346298218,7.999999979801942e-06,0.0,0.0,0.0,0.0,0.0,0.11437100172042847,0.0,0.0,0.0,0.0,0.0,39.264591217041016,0.0,0.0,0.0,0.0,0.0,188.05031114463804,180.5829411582947
2021-06-18,140.3238525390625,0.0,0.0,0.0,0.0,0.0,36.79999923706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2231.733154296875,0.0,0.0449,113.95131098632812,113.95131098632812,100.2048186279297,1.415395975112915,0.0,49.98,74.09900015830993,74.09900015830993,70.74149083614348,7.000000096013537e-06,0.0,0.0,0.0,0.0,0.0,0.1058960035443306,0.0,0.0,0.0,0.0,0.0,36.64879608154297,0.0,0.0,0.0,0.0,0.0,188.05031114463804,170.94630946407318
2021-06-19,140.3238525390625,0.0,0.0,0.0,0.0,0.0,36.79999923706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2178.4990234375,0.0,0.0449,113.95131098632812,113.95131098632812,97.81460615234376,1.390570044517517,0.0,49.98,74.09900015830993,74.09900015830993,69.5006908249855,7.999999979801942e-06,0.0,0.0,0.0,0.0,0.0,0.10840100049972534,0.0,0.0,0.0,0.0,0.0,35.35343551635742,0.0,0.0,0.0,0.0,0.0,188.05031114463804,167.31529697732924
2021-06-20,140.3238525390625,0.0,0.0,0.0,0.0,0.0,36.79999923706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2246.364501953125,0.0,0.0449,113.95131098632812,113.95131098632812,100.86176613769531,1.4291880130767822,0.0,49.98,74.09900015830993,74.09900015830993,71.43081689357757,7.999999979801942e-06,0.0,0.0,0.0,0.0,0.0,0.10819099843502045,0.0,0.0,0.0,0.0,0.0,35.32201385498047,0.0,0.0,0.0,0.0,0.0,188.05031114463804,172.2925830312729
2021-06-21,141.2240447998047,0.0,0.0,0.0,0.0,0.0,36.02000045776367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888.447509765625,0.0,0.0449,113.95131098632812,113.95131098632812,84.79129318847657,1.1774799823760986,0.0,49.98,74.09900015830993,74.09900015830993,58.85044951915741,6.000000212225132e-06,0.0,0.0,0.0,0.0,0.0,0.09096399694681168,0.0,0.0,0.0,0.0,0.0,26.657400131225586,0.0,0.0,0.0,0.0,0.0,188.05031114463804,143.64174270763397
2021-06-22,142.5513458251953,0.0,0.0,0.0,0.0,0.0,39.41999816894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1874.9500732421875,0.0,0.0449,113.95131098632812,113.95131098632812,84.18525828857422,1.1532540321350098,0.0,49.98,74.09900015830993,74.09900015830993,57.639636526107786,6.000000212225132e-06,0.0,0.0,0.0,0.0,0.0,0.0885310024023056,0.0,0.0,0.0,0.0,0.0,26.7718563079834,0.0,0.0,0.0,0.0,0.0,188.05031114463804,141.824894814682
2021-06-23,142.5513458251953,0.0,0.0,0.0,0.0,0.0,40.81999969482422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989.736328125,0.0,0.0449,113.95131098632812,113.95131098632812,89.3391611328125,1.2528959512710571,0.0,49.98,74.09900015830993,74.09900015830993,62.61973964452743,7.000000096013537e-06,0.0,0.0,0.0,0.0,0.0,0.09477700293064117,0.0,0.0,0.0,0.0,0.0,30.048887252807617,0.0,0.0,0.0,0.0,0.0,188.05031114463804,151.95890077733992
